"SeaWorld Entertainment Inc."
"Arena Pharmaceuticals Inc."
VictoryShares US Discovery Enhanced Volatility Wtd ETF
XTL Biopharmaceuticals Ltd.
"China Fund Inc. (The)"
iShares MSCI ACWI ex US Index Fund
"Amtech Systems Inc."
Destination Maternity Corp.
Towne Bank
Matthews Int. Corp.
"Viking Therapeutics Inc."
Magellan Midstream Partners L.P.
"Oaktree Capital Group LLC"
"Barnes & Noble Inc."
"Nicholas Financial Inc."
"CRA Int.Inc."
"Loxo Oncology Inc."
"Hennessy Advisors Inc."
Advantage Oil & Gas Ltd
"Iteris Inc."
Vornado Realty Trust
M&T Bank Corp.
Crane Company
BSQUARE Corp.
Central European Media Enterprises Ltd.
"Ottawa Bancorp Inc."
Integer Holdings Corp.
"Arrow Electronics Inc."
"Dorman Products Inc."
Gramercy Property Trust
"Republic Bancorp Inc."
Quest Resource Holding Corp..
"GNC Holdings Inc."
BB&T Corp.
The Joint Corp.
"GlassBridge Enterprises Inc."
"Atlas Financial Holdings Inc."
"UCP Inc."
Webster Financial Corp.
Fastenal Company
"Windstream Holdings Inc."
"Union Bankshares Inc."
Dover Corp.
PowerShares DWA NASDAQ Momentum Prtf.
Bank of Commerce Holdings (CA)
Pool Corp.
Renasant Corp.
Capital Product Partners L.P.
"Sangamo Therapeutics Inc."
iFresh Inc.
pSivida Corp.
"Hawaiian Electric Industries Inc."
Bank of Marin Bancorp
"Validus Holdings Ltd."
"Viking Therapeutics Inc."
"CSW Industrials Inc."
"Manitowoc Company Inc. (The)"
"Enviva Partners LP"
"Viking Therapeutics Inc."
American Homes 4 Rent
Enbridge Inc
"PhotoMedex Inc."
First Trust Rising Dividend Achievers ETF
"Copa Holdings S.A."
Valley National Bancorp
"Dynex Capital Inc."
Sunrun Inc.
MainStay DefinedTerm Municipal Opportunities Fund
"Advanced Disposal Services Inc."
JinkoSolar Holding Company Limited
Ferroglobe PLC
Eastern Company (The)
iShares FTSE EPRA/NAREIT Europe Index Fund
BlackRock Municipal Target Term Trust Inc. (The)
"PayPal Holdings Inc."
Investar Holding Corp.
First Trust Nasdaq Pharmaceuticals ETF
"Rocky Mountain Chocolate Factory Inc."
"CommerceHub Inc."
"Photronics Inc."
"Del Taco Restaurants Inc."
"Heron Therapeutics Inc.  "
Louisiana-Pacific Corp.
Vantage Energy Acquisition Corp.
"Skyworks Solutions Inc."
"Harte-Hanks Inc."
Alpine Global Premier Properties Fund
"ScanSource Inc."
First Trust Energy Infra Fund
Center Coast MLP & Infra Fund
"Nautilus Group Inc. (The)"
Telefonica SA
Green Dot Corp.
PowerShares S&P SmallCap Information Technology Prtf.
"OptimumBank Holdings Inc."
"VistaGen Therapeutics Inc."
Kellogg Company
"Primerica Inc."
Washington Prime Group Inc.
Citigroup Inc.
Foresight Autonomous Holdings Ltd.
Alabama Power Company
"Schweitzer-Mauduit Int. Inc."
China Telecom Corp Ltd
Navistar Int. Corp.
Scorpio Tankers Inc.
"Nord Anglia Education Inc."
Cray Inc
American Woodmark Corp.
Allstate Corp. (The)
"Clearside Biomedical Inc."
"Biostar Pharmaceuticals Inc."
Electrum Special Acquisition Corp.
Nuveen Connecticut Qlty Municipal Income Fund
"Ecology and Environment Inc."
Fomento Economico Mexicano S.A.B. de C.V.
Public Storage
"Trex Company Inc."
"Momenta Pharmaceuticals Inc."
MFS Charter Income Trust
Principal Financial Group Inc
Entravision Communications Corp.
"Auburn National BanCorp. Inc."
Scholastic Corp.
"Cytokinetics Inc."
Atmos Energy Corp.
"Colony NorthStar Inc."
Tuttle Tactical Management U.S. Core ETF
Pacific Mercantile Bancorp
Zix Corp.
Saban Capital Acquisition Corp.
"Madrigal Pharmaceuticals Inc."
Medley Management Inc.
"Kayne Anderson Energy Total Return Fund Inc."
"Watsco Inc."
Pegasystems Inc.
"Q2 Holdings Inc."
Frontline Ltd.
"Dorchester Minerals L.P."
Liberty Global plc
"Haynes Int. Inc."
"NextEra Energy Inc."
Incyte Corp.
Allstate Corp. (The)
Credicorp Ltd.
Costamare Inc.
"Globus Medical Inc."
Blackstone GSO Long Short Credit Income Fund
"Lifetime Brands Inc."
"Mota Group Inc."
"MarineMax Inc."
Atmos Energy Corp.
"CHF Solutions Inc."
Sibanye Gold Limited
Vanguard Russell 3000 ETF
Quantum Corp.
Constellation Brands Inc
NeuroDerm Ltd.
"Transcat Inc."
United Therapeutics Corp.
New Mountain Finance Corp.
"Siliconware Precision Industries Company Ltd."
Vulcan Materials Company
Colonial Municipal Income Trust
"Select Energy Services Inc."
"Brocade Communications Systems Inc."
"Tyler Technologies Inc."
Southern Company (The)
First Financial Corp. Indiana
"Tandy Leather Factory Inc."
Dynegy Inc.
"WhiteHorse Finance Inc."
"TG Therapeutics Inc."
BioShares Biotechnology Clinical Trials Fund
Markel Corp.
Nuveen AMT-Free Municipal Value Fund
Hancock Holding Company
Cemtrex Inc.
"Jernigan Capital Inc."
"ConforMIS Inc."
Rosehill Resources Inc.
"The Andersons Inc."
"Titan Int. Inc."
"Consolidated Communications Holdings Inc."
"Catasys Inc."
Sanofi
Redhill Biopharma Ltd.
State Street Corp.
KLA-Tencor Corp.
Capital One Financial Corp.
Kosmos Energy Ltd.
"Discovery Communications Inc."
Tsakos Energy Navigation Ltd
First Trust NASDAQ Cybersecurity ETF
"Blackrock Enhanced Government Fund Inc"
Citigroup Inc.
"Becton Dickinson and Company"
Amedisys Inc
"America&#39;s Car-Mart Inc."
Leucadia National Corp.
Taylor Morrison Home Corp.
"Nord Anglia Education Inc."
KLX Inc.
Global X SuperDividend Alternatives ETF
Lakeland Financial Corp.
Howard Hughes Corp. (The)
Seritage Growth Properties
"Inovio Pharmaceuticals Inc."
Superconductor Technologies Inc.
"Five Prime Therapeutics Inc."
"Willamette Valley Vineyards Inc."
Nektar Therapeutics
Deutsch Bk Contingent Cap Tr V
Gazit-Globe Ltd.
"Telephone and Data Systems Inc."
Citizens Holding Company
Urstadt Biddle Properties Inc.
Ferrari N.V.
Legg Mason BW Global Income Opportunities Fund Inc.
iStar Financial Inc.
Pacific Special Acquisition Corp.
"World Point Terminals LP"
"Fate Therapeutics Inc."
"Hartford Financial Services Group Inc. (The)"
"ABIOMED Inc."
Caesars Acquisition Company
Fulton Financial Corp.
"Banc of California Inc."
"First Business Financial Services Inc."
Kayne Anderson MLP Investment Company
BLDRS Emerging Markets 50 ADR Index Fund
Coupa Software Inc.
"TechTarget Inc."
"Barrett Business Services Inc."
Prospect Capital Corp.
"Stag Industrial Inc."
"SB Financial Group Inc."
"Capricor Therapeutics Inc."
Gladstone Land Corp.
Hornbeck Offshore Services
"Cambium Learning Group Inc."
Modern Media Acquisition Corp.
"Luxottica Group S.p.A."
Mercantile Bank Corp.
Atlassian Corp. Plc
BlackRock Municipal Income Trust
Array BioPharma Inc.
Nektar Therapeutics
"Zendesk Inc."
Kopin Corp.
Farmers National Banc Corp.
National Steel Company
"AMTEK Inc."
"YuMe Inc."
"Sportsman&#39;s Warehouse Holdings Inc."
Universal Health Realty Income Trust
VictoryShares US Small Cap High Div Volatility Wtd ETF
"Analog Devices Inc."
Core Laboratories N.V.
"CRA Int.Inc."
Nuveen Preferred and Income 2022 Term Fund
Nuveen Municipal Credit Income Fund
Saratoga Investment Corp
"PGT Innovations Inc."
Gilat Satellite Networks Ltd.
"athenahealth Inc."
PLx Pharma Inc.
"Lamb Weston Holdings Inc."
Boulevard Acquisition Corp. II
"Beneficial Bancorp Inc."
Eastman Kodak Company
"Juniper Networks Inc."
Myovant Sciences Ltd.
VanEck Vectors Pharmaceutical ETF
Transportadora De Gas Sa Ord B
"Dreyfus Strategic Municipal Bond Fund Inc."
"CryoLife Inc."
Potash Corp. of Saskatchewan Inc.
Blackrock Muni New York Intermediate Duration Fund Inc
Synaptics Inc.
CNB Financial Corp.
"Community First Bancshares Inc."
Davis Select U.S. Equity ETF
First Trust Global Tactical Commodity Strategy Fund
Research Frontiers Inc.
Vaalco Energy Inc
BBVA Banco Frances S.A.
"Eastern Virginia Bankshares Inc."
Momo Inc.
Andina Acquisition Corp. II
"Leidos Holdings Inc."
Tech Data Corp.
"Imperva Inc."
"Sunshine Bancorp Inc."
"Discovery Communications Inc."
Synchrony Financial
"Diplomat Pharmacy Inc."
"Computer Programs and Systems Inc."
M&T Bank Corp.
Nuveen Global High Income Fund
"Berkshire Hills Bancorp Inc."
National Retail Properties
First Trust Dorsey Wright Int. Focus 5 ETF
Discover Financial Services
Presbia PLC
Federal Agricultural Mortgage Corp.
First Trust Canada AlphaDEX Fund
iShares MSCI Emerging Markets Asia Index Fund
PICO Holdings Inc.
"CBAK Energy Technology Inc."
American Vanguard Corp.
Corp Office Properties Trust
"Extraction Oil & Gas Inc."
"Winnebago Industries Inc."
Banco Santander Chile
"Enable Midstream Partners LP"
"Firsthand Technology Value Fund Inc."
Lindblad Expeditions Holdings Inc. 
ResMed Inc.
Sohu.com Inc.
"Aemetis Inc"
"Fortinet Inc."
"Manhattan Bridge Capital Inc"
Marriott Int.
Gladstone Investment Corp.
Forestar Group Inc
EnteroMedics Inc.
"Popular Inc."
Cincinnati Bell Inc
"Entergy Arkansas Inc."
First Defiance Financial Corp.
"Aerojet Rocketdyne Holdings Inc. "
Gol Linhas Aereas Inteligentes S.A.
"Customers Bancorp Inc"
"Herman Miller Inc."
"Intersections Inc."
"Electro Scientific Industries Inc."
Gaming Partners Int. Corp.
Mistras Group Inc
"Edgewater Technology Inc."
Elbit Imaging Ltd.
"Identiv Inc."
Louisiana-Pacific Corp.
Brookfield Infra Partners LP
"B&G Foods Inc."
Citigroup Inc.
The Middleby Corp.
"Endurance Int. Group Holdings Inc."
"USLIFE Income Fund Inc."
"CryoPort Inc."
"Stanley Furniture Company Inc."
"Uranium Resources Inc."
"ATN Int. Inc."
"ZAIS Group Holdings Inc."
"Shell Midstream Partners L.P."
Third Point Reinsurance Ltd.
Lincoln National Corp.
"Forrester Research Inc."
Comerica Inc.
"Trex Company Inc."
Ecolab Inc.
"Insmed Inc."
Kewaunee Scientific Corp.
Anheuser-Busch Inbev SA
"Innovative Industrial Properties Inc."
Orix Corp Ads
"Gores Holdings II Inc."
Smith (A.O.) Corp.
Citizens Holding Company
Medovex Corp.
iShares Core MSCI Total Int. Stock ETF
"Opexa Therapeutics Inc."
"CSS Industries Inc."
First Trust Dev Markets ex-US Small Cap AlphaDEX Fund
"K2M Group Holdings Inc."
"PennyMac Financial Services Inc."
Eaton Vance Tax Advantaged Dividend Income Fund
BLDRS Europe 100 ADR Index Fund
BOK Financial Corp.
Huntsman Corp.
"EnerNOC Inc."
"Willdan Group Inc."
AmeriServ Financial Inc.
Diffusion Pharmaceuticals Inc.
"Mueller Industries Inc."
JetBlue Airways Corp.
Global X Guru Activist ETF
"Innophos Holdings Inc."
BiondVax Pharmaceuticals Ltd.
"Church & Dwight Company Inc."
Enterprise Products Partners L.P.
"InterDigital Inc."
"Laredo Petroleum Inc."
"CatchMark Timber Trust Inc."
"Genomic Health Inc."
"Streamline Health Solutions Inc."
Intel Corp.
"Limelight Networks Inc."
"United Bancshares Inc."
Tata Motors Ltd
"Virtu Financial Inc."
Milacron Holdings Corp.
"Prudential Financial Inc."
Female Health Company (The)
"Customers Bancorp Inc"
Apartment Investment and Management Company
American National Insurance Company
CABCO Series 2004-101 Trust
Martin Midstream Partners L.P.
Rio Tinto Plc
"Versum Materials Inc."
Cabot Oil & Gas Corp.
"Xilinx Inc."
"Synopsys Inc."
"The Hain Celestial Group Inc."
"Varian Medical Systems Inc."
Moody&#39;s Corp.
"Cedar Realty Trust Inc."
Western Asset Mortgage Defined Opportunity Fund Inc
First Bank
Urstadt Biddle Properties Inc.
"Fortune Brands Home & Security Inc."
GP Investments Acquisition Corp.
"Mueller Industries Inc."
"Cohen & Steers Infra Fund Inc"
"SunCoke Energy Inc."
"Applied Optoelectronics Inc."
Global X Health & Wellness Thematic ETF
"Fitbit Inc."
Hilton Worldwide Holdings Inc.
"SMART Global Holdings Inc."
"Dr Pepper Snapple Group Inc"
Horizon Technology Finance Corp.
Eaton Vance NextShares Trust
Eaton Vance Tax-Advantaged Bond
Pilgrim&#39;s Pride Corp.
iPath US Treasury 10-year Bull ETN
Credit Suisse Group
Origo Acquisition Corp.
"Teladoc Inc."
Bank of Nova Scotia (The)
Kroger Company (The)
"Tesla Inc. "
"Nivalis Therapeutics Inc."
GigaMedia Limited
Matlin & Partners Acquisition Corp.
Las Vegas Sands Corp.
"CoreCivic Inc."
Federated Premier Municipal Income Fund
Apple Inc.
"Instructure Inc."
JM Global Holding Company
Vornado Realty Trust
Monroe Capital Corp.
Booz Allen Hamilton Holding Corp.
"Xenia Hotels & Resorts Inc."
Arcos Dorados Holdings Inc.
Dynegy Inc.
"Landstar System Inc."
"Analog Devices Inc."
Duff & Phelps Global Utility Income Fund Inc.
Morgan Stanley
Webster Financial Corp.
Tellurian Inc.
"K2M Group Holdings Inc."
"Seres Therapeutics Inc."
Int. Game Technology
Horizon Bancorp (IN)
"Synchronoss Technologies Inc."
Mattersight Corp.
PowerShares DWA SmallCap Momentum Prtf.
iShares GNMA Bond ETF
Liberty Broadband Corp.
Range Resources Corp.
Nomura Holdings Inc ADR
Wells Fargo & Company
EXCO Resources NL
Duluth Holdings Inc.
Flaherty & Crumrine Total Return Fund Inc
Seadrill Partners LLC
Banco Santander Chile
"Insys Therapeutics Inc."
"Liberty TripAdvisor Holdings Inc."
General Motors Company
Array BioPharma Inc.
Grupo Aval Acciones y Valores S.A.
"WesBanco Inc."
Eaton Vance Floating Rate Income Trust
"Yum China Holdings Inc."
Comcast Corp.
"Alder BioPharmaceuticals Inc."
SodaStream Int. Ltd.
ClearBridge Energy MLP Total Return Fund Inc.
Ciner Resources LP
Bank Of Montreal
Ideal Power Inc.
"Eagle Pharmaceuticals Inc."
TriCo Bancshares
"Acasti Pharma Inc."
Verona Pharma plc
Geron Corp.
"Onconova Therapeutics Inc."
BlackRock Capital Investment Corp.
"Prudential Financial Inc."
GSV Capital Corp
Eaton Vance Risk-Managed Diversified Equity Income Fund
Arch Capital Group Ltd.
Global Medical REIT Inc.
Embraer-Empresa Brasileira de Aeronautica
"CBAK Energy Technology Inc."
The Charles Schwab Corp.
Select Asset Inc.
NMI Holdings Inc
"Bellerophon Therapeutics Inc."
"Texas Capital Bancshares Inc."
Illinois Tool Works Inc.
First Trust Alternative Absolute Return Strategy ETF
"WageWorks Inc."
VictoryShares US Discovery Enhanced Volatility Wtd ETF
"Energy Recovery Inc."
"Aldeyra Therapeutics Inc."
"LSC Communications Inc."
"Comstock Resources Inc."
Select Medical Holdings Corp.
Oxford Immunotec Global PLC
"Emergent Biosolutions Inc."
"Voya Infra Industrials and Materials Fund"
"Netflix Inc."
Uniti Group Inc.
First Trust Emerging Markets Small Cap AlphaDEX Fund
"FormFactor Inc."
MYOS RENS Technology Inc.
CIT Group Inc (DEL)
Resource Capital Corp.
Nam Tai Property Inc.
"GenMark Diagnostics Inc."
Mistras Group Inc
C&F Financial Corp.
"Electro-Sensors Inc."
China Unicom (Hong Kong) Ltd
Embotelladora Andina S.A.
Nuveen Core Equity Alpha Fund
Duff & Phelps Global Utility Income Fund Inc.
"Novan Inc."
iShares MSCI Europe Financials Sector Index Fund
Capstead Mortgage Corp.
"Twenty-First Century Fox Inc."
Atlantic Coast Financial Corp.
Ramco-Gershenson Properties Trust
"CSS Industries Inc."
Astrazeneca PLC
"Kimball Int. Inc."
First Trust NASDAQ-100 Equal Weighted Index Fund
Oxbridge Re Holdings Limited
BlackRock Municipal Income Investment Trust
"Lifeway Foods Inc."
Chemed Corp.
ArcelorMittal
AbbVie Inc.
Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor)
"NxStage Medical Inc."
ASML Holding N.V.
Tiffany & Co.
SteadyMed Ltd.
"PS Business Parks Inc."
"U.S. Auto Parts Network Inc."
NorthStar Realty Europe Corp.
Partner Communications Company Ltd.
Brookfield Infra Partners LP
"Chegg Inc."
"Genocea Biosciences Inc."
"National CineMedia Inc."
Deere & Company
"The Hanover Insurance Group Inc."
Blackrock Enhanced Equity Dividend Trust
"National Oilwell Varco Inc."
WisdomTree Negative Duration High Yield Bond Fund
KBS Fashion Group Limited
"Popular Inc."
"Ingles Markets Inc."
"Momenta Pharmaceuticals Inc."
Immuron Limited
Armstrong World Industries Inc
"Black Diamond Inc."
"TPI Composites Inc."
Nabriva Therapeutics AG
Tesoro Logistics LP
Ares Capital Corp.
"Helix Energy Solutions Group Inc."
First United Corp.
Axalta Coating Systems Ltd.
"AnaptysBio Inc."
"PolarityTE Inc."
BlackRock Multi-Sector Income Trust
Apollo Senior Floating Rate Fund Inc.
CHS Inc
Rice Midstream Partners LP
First Trust Multi Cap Value AlphaDEX Fund
iPath US Treasury 2-year Bull ETN
"China Fund Inc. (The)"
StoneMor Partners L.P.
CABCO Series 2004-101 Trust
Corp Asset Backed Corp CABCO
Fairmount Santrol Holdings Inc.
State Street Corp.
"NTT DOCOMO Inc"
